pathwayName,pathwayId,pathwaySource,Pval_Metab,Num_In_Path_Metab,Total_In_Path_Metab,Pval_Gene,Num_In_Path_Gene,Total_In_Path_Gene,Pval_combined,Pval_combined_FDR,Pval_combined_Holm,analytes,cluster_assignment
Pyrimidine metabolism,map00240,kegg,NA,NA,NA,2.63E-11,62,103,2.63E-11,1.60E-09,8.36E-08,NT5C;NT5C1A;NT5C1B;NME1;NME2;NME3;NME4;NME5;NME6;NME7;NT5C2;NT5C3;NT5E;NT5M;POLR2H;POLR2B;POLR2F;POLR2G;POLR2H;POLE3;POLE4;POLR1B;POLR1C;POLR1E;POLR2A;POLR2I;POLR2J;POLR2K;POLR2L;PNPT1;POLA1;POLD1;POLD2;UPB1;UCK1;UCKL1;TWISTNB;TXNRD2;TYMS;ZNRD1;TK2;ENTPD1;ENTPD4;ENTPD6;DUT;ITPA;DHODH;DCK;DCTD;AK3;CDA;CAD;CTPS2;CPA1;CMPK2;PRIM1;POLR3C;POLR3D;POLR3E;POLR3F;POLR3GL;POLR3H;POLR3K,Unclustered
"Valine, leucine and isoleucine degradation",map00280,kegg,0.945590365,1,52,2.95E-07,30,46,2.79E-07,3.48E-06,0.000829008,Glutamate; L-Glutamic acid;BCAT2;BCKDHA;BCKDHB;ACADM;ACADS;ACAT1;ACAT2;ACAA1;ACAA2;ALDH1B1;ALDH3A2;ALDH7A1;DBT;DLD;OXCT1;OXCT2;PCCA;MUT;MCCC1;MCEE;HSD17B10;HMGCL;HMGCS1;HMGCS2;ECHS1;HADH;HADHA;HIBADH;IL4I1;IVD,Unclustered
Arginine and proline metabolism,map00330,kegg,0.014279242,7,51,1.30E-06,36,62,1.85E-08,3.32E-07,5.65E-05,Creatine;Glycine;Guanidoacetic acid;Glutamate; L-Glutamic acid;L-Proline;Ornithine;Citrulline;RARS2;SLC1A4;SLC25A15;PYCR1;PYCRL;SAT1;GPT;GAMT;GOT1;EPRS;ALDH7A1;ARG1;ASL;ASS1;ABP1;ADC;ALDH18A1;ALDH1B1;ALDH3A2;AGMAT;DAO;CKB;CKM;CKMT1A; CKMT1B;CKMT2;CPS1;CNDP2;NAGS;ODC1;NOS2;NOS3;NOS1;MAOA;CKB;SLC25A15;P4HA3;SRM;SMS,Unclustered
Citric Acid Cycle,map00020,kegg,NA,NA,NA,1.58E-05,21,32,1.58E-05,0.000112249,0.044007071,IDH1;IDH2;IDH3A;IDH3B;IDH3G;SUCLA2;SUCLG2;PC;PCK1;PCK2;PDHA1;PDHB;PC;MDH1;MDH2;OGDH;ACLY;ACO2;DLD;DLST;SDHA;SDHD,Unclustered
Butyrate Metabolism,map00650,kegg,NA,NA,NA,1.78E-05,20,30,1.78E-05,0.000121845,0.049210763,HMGCL;HMGCS1;HMGCS2;GAD2;HADH;HADHA;ECHS1;PDHA1;PDHB;OXCT1;OXCT2;L2HGDH;ACADS;ACAT1;ACAT2;ACSM2A;ACSM2B;ACSM3;ACSM4;BDH2,Unclustered
Epstein-Barr virus infection,map05169,kegg,NA,NA,NA,4.71E-06,32,55,4.71E-06,3.87E-05,0.013370528,IFNA10;IFNA14;IFNA16;IFNA17;IFNA21;IFNA5;IFNA6;IFNA7;IFNAR1;ENTPD1;POLR2H;POLR2B;POLR2F;POLR2G;POLR2H;PLCG1;POLK;POLR1C;POLR2A;POLR2I;POLR2J;POLR2K;POLR2L;DDX58;CREBBP;BST1;POLR3C;POLR3D;POLR3E;POLR3F;POLR3GL;POLR3H;POLR3K,Unclustered
Insulin signaling pathway,map04910,kegg,NA,NA,NA,1.39E-05,22,34,1.39E-05,0.000100783,0.038770517,SLC2A4;HK3;PCK1;PCK2;PDE3B;LIPE;ACACA;ACACB;SLC2A4;PYGB;PYGM;PPP1CA;PPP1CC;RPTOR;INPP5K;INPPL1;GRB2;HK1;HK2;HK3;FASN;FBP1;G6PC;G6PC2,Unclustered
PPAR signaling pathway,map03320,kegg,NA,NA,NA,5.29E-06,24,37,5.29E-06,4.31E-05,0.014998799,SCD;SCD5;SLC27A2;DBI;CYP4A11;CYP4A22;CYP8B1;CYP27A1;CPT1B;CPT1C;CPT2;ACAA1;ACADL;ACADM;ACOX3;ACSBG1;ACSL4;GK;HMGCS2;ME1;PCK1;PCK2;CYP7A1;CYP27A1;LPL,Unclustered
Calcium signaling pathway,map04020,kegg,NA,NA,NA,3.25E-06,31,52,3.25E-06,2.81E-05,0.009288298,ATP2A1;ATP2A2;ADCY2;ADCY3;ADCY7;ADCY9;ATP2A3;ATP2B2;ATP2B3;BST1;SPHK2;PRKCB;PPP3CC;HTR2A;ITPKA;ITPKB;ITPKC;PLCZ1;PLCB1;PLCD1;PLCD4;PLCG1;ATP2A1;CAMK2B;ADCY9;PDE1A;PDE1B;PDGFRA;PDGFRB;P2RX4;NOS1;NOS2;NOS3,Unclustered
Cytosolic DNA-sensing pathway,map04623,kegg,NA,NA,NA,2.83E-06,23,34,2.83E-06,2.50E-05,0.008105274,TMEM173;POLR2H;POLR2F;POLR2H;POLR2K;POLR2L;POLR1C;CASP1;DDX58;POLR3C;POLR3D;POLR3E;POLR3F;POLR3GL;POLR3H;POLR3K;IFNA10;IFNA14;IFNA16;IFNA17;IFNA21;IFNA5;IFNA6;IFNA7,Unclustered
RNA polymerase,map03020,kegg,NA,NA,NA,7.47E-06,21,31,7.47E-06,5.86E-05,0.021072804,POLR3C;POLR3D;POLR3E;POLR3F;POLR3GL;POLR3H;POLR3K;TWISTNB;ZNRD1;POLR1B;POLR1C;POLR1E;POLR2A;POLR2B;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L;POLR2H,Unclustered
"Transport of bile salts and organic acids, metal ions and amine compounds",R-HSA-425366,reactome,0.501747932,2,79,3.42E-06,45,86,1.71E-06,1.65E-05,0.004961591,3alpha-hydroxy-5alpha-androstan-17-one 3-sulfate; Dehydroepiandrosterone sulfate; DHEA-SO4;Uric acid;SLC39A1;SLC39A10;SLC39A3;SLC39A4;SLC39A5;SLC39A6;SLC41A2;SLC44A5;SLC47A2;SLC5A11;SLC5A3;SLC6A11;SLC6A13;SLC6A14;SLC6A2;SLC6A20;SLC6A6;SLC11A1;SLC11A2;SLC13A1;SLC14A1;SLC14A2;SLC16A1;SLC16A7;SLC18A2;OR52E2; SLC22A12;SLC22A15;SLC22A16;SLC22A18;SLC22A2;SLC22A3;SLC22A7;SLC22A8;SLC30A1;SLC30A5;SLC30A6;SLC30A7;SLC30A8;SLC31A1;OR10V1; RHAG;RHBG;RSC1A1;SLC6A20;OR5H14;BSG;OR52E2;EMB,20
Metabolism of water-soluble vitamins and cofactors,R-HSA-196849,reactome,0.799494878,2,138,1.53E-08,65,123,1.22E-08,2.28E-07,3.73E-05,Pantothenic acid;Thiamine; THMN;PANK2;PANK4;PARP9;PC;PCCA;NT5E;PC;MTHFD1;MTHFD2;MTHFS;MTR;MUT;NADK;NADSYN1;NAPRT1;MMAB;MMADHC;MCCC1;MOCOS;MOCS1;MOCS2;LMBRD1;PRSS3;RFK;SLC23A2;SLC25A32;SLC19A1;SLC19A2;SLC19A3;SHMT1;PTGIS;PPCDC;PPCS;TCN1;TCN2;THTPA;TPK1;VNN1;VNN2;AMN;ALDH1L1;AASDHPPT;ABCC1;ABCD4;ACACA;ACACB;ACP5;DHFR;DHFRL1;CYP8B1;CYB5A;CTRB1;CTRB2;CTRC;CUBN;COASY;BST1;CD320;CARKD;ENPP2;ENPP3;FOLR2;FASN;GIF;HLCS;GSTO1,Unclustered
Phase I - Functionalization of compounds,R-HSA-211945,reactome,NA,NA,NA,1.28E-05,51,105,1.28E-05,9.37E-05,0.035757939,"CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z));FDX1;EPHX1;AIP;AADAC;ABP1;ACSS1;ACSS2;ALDH1B1;ADH1A;ADH6;ADH7;PARG;ARNT2;CYP11B2;CYP26A1;CYP26B1;CYP27A1;CYP27B1;CYP2A13;CYP2A7;CYP2B6;CYP2C19;CYP2C9;CYP2E1;CYP2F1;CYP2J2;CYP2R1;CYP2U1;CYP39A1;CYP3A4;CYP3A43;CYP3A5;CYP46A1;CYP4A11;CYP4A22;CYP4F12;CYP4F3;CYP4V2;CYP7B1;CYP8B1;CMBL;CYP2C9;CYP7A1;CYP27A1;MOSC2;MAOA;NCOA2;PTGIS;PTGS1;CYP2J2;POMC;POR;TBXAS1;SMOX",23
DNA Damage/Telomere Stress Induced Senescence,R-HSA-2559586,reactome,NA,NA,NA,1.08E-07,37,60,1.08E-07,1.52E-06,0.000324593,ATM;ASF1A;CCNA1;CDKN1A;CDKN1B;CDK2;CABIN1;HIST3H2BB;EP400;H2AFX;HIST1H1A;HIST1H1B;HIST1H1D;HIST1H1E;HIST1H2AB; HIST1H2AE;HIST1H2AD;H2AFB1;H2AFJ;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST1H2BE;HIST1H2BH;HIST1H2BE;HIST2H2AC;HIST2H2BE;HIST1H4A;HIST1H2BO;HIST1H2BB;HIST1H2BE;HIST1H2BE;HIST1H4A;HIST1H4A;HIST1H4A;RB1;RAD50;POT1;TP53;TERF2;TINF2;MRE11A;LMNB1;NBN,25
DNA Double-Strand Break Repair,R-HSA-5693532,reactome,NA,NA,NA,5.19E-07,71,148,5.19E-07,6.00E-06,0.00153068,UIMC1;UBE2I;UBE2N;WHSC1;UBE2V2;UBXN1;TP53;TIMELESS;TIPIN;XRCC1;XRCC4;XRCC6;SMARCA5;APBB1;ATM;BAP1;ATR;ATRIP;BRCA2;BRCC3;BLM;CDK2;CHEK1;CCNA1;MRE11A;NBN;MUS81;POLD4;POLE3;POLE4;POLH;POLK;POLL;POLD1;POLD2;POLD3;CLSPN;PARP1;PARP2;RNF168;RNF8;RPA2;RPA3;RFC4;RIF1;PPP4C;PPP4R2;RAD1;RAD50;RAD51AP1;RAD52;RAD9A;RAD9B;PRKDC;RPS27A;H2AFX;EYA3;EYA4;ERCC1;EME2;HIST1H2BB;HIST1H2BE;HIST1H2BE;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST1H4A;HIST1H4A;HIST1H4A;HIST2H2BE;HIST1H4A;HIST1H2BO;HIST1H2BE;HIST1H2BH;HIST1H2BE;HIST3H2BB;GEN1,26
tRNA processing in the nucleus,R-HSA-6784531,reactome,NA,NA,NA,2.42E-10,40,58,2.42E-10,8.92E-09,7.61E-07,TRNT1;TSEN15;TSEN2;TSEN34;TSEN54;TPR;XPOT;ZBTB8OS;C22orf28;C2orf49;CPSF1;CPSF4;CSTF2;DDX1;NUP37;NUP43;NUP50;NUP54;NUP88;NUP155;NUP160;NUP188;NUP205;NUP210;NUP35;NUP98;NUPL2;POM121;POM121C;POP1;POP4;POP7;RAE1;RAN;RANBP2;RPP14;RPP21;RPP40;SEH1L;SEC13,32
tRNA processing,R-HSA-72306,reactome,NA,NA,NA,8.83E-12,65,108,8.83E-12,6.20E-10,2.81E-08,FTSJ1;HSD17B10;EPRS;NSUN2;NSUN6;NUP155;NUP160;NUP88;NUP98;NUPL2;NUP188;NUP205;NUP210;NUP35;NUP37;NUP43;NUP50;NUP54;OR3A3;OSGEP;URM1;TYW3;TRDMT1;TRMT1;TRMT11;TRMT61A;TRMU;TRNT1;TSEN15;TSEN2;TSEN34;TSEN54;TPR;TPRKB;XPOT;ZBTB8OS;THG1L;PUS1;PUS3;QTRT1;RAE1;RAN;RANBP2;SEC13;SEH1L;RPP14;RPP21;RPP40;POP1;POP4;POP7;POM121;POM121C;CDKAL1;ALKBH8;ADAT1;ADAT3;DUS2L;DDX1;CSTF2;CTU2;CPSF1;CPSF4;C22orf28;C2orf49,31
Metabolism of nucleotides,R-HSA-15869,reactome,NA,NA,NA,9.70E-07,51,98,9.70E-07,1.01E-05,0.002834564,Uric acid;GLRX;GMPR2;GMPS;ENTPD1;ENTPD4;ENTPD6;ENTPD7;DUT;IMPDH2;ITPA;PPAT;SAMHD1;NT5C2;NT5C3;NT5E;NT5M;NUDT1;NUDT16;NUDT5;NME1;NME2;NME2P1;NME3;NME4;NT5C;NT5C1A;NT5C1B;PFAS;OR6Q1;CTPS2;DCK;DCTD;DCTPP1;DGUOK;DHODH;CAD;CDA;AMPD1;AMPD2;AMPD3;ATIC;APRT;ADK;ADSL;TK2;TAF9;TXN;TYMS;UPB1;UCK1;UCKL1,Unclustered
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",R-HSA-446193,reactome,NA,NA,NA,8.93E-07,43,78,8.93E-07,9.47E-06,0.002616577,FPGT;GFPT1;GMDS;GMPPA;GMPPB;GNE;OR2T6;PGM3;NUDT14;NUS1;NPL;NAGK;NANS;MVD;NEU2;PMM1;PMM2;MPI;ALG1;ALG10B; OR51B5;ALG11;ALG14;ALG2;ALG5;ALG6;DPM1;DPM3;CTSA;RENBP;SLC35A1;SLC35C1;ST3GAL2;ST3GAL3;ST3GAL4;ST3GAL6;ST6GALNAC1;ST6GALNAC3;ST8SIA2;ST8SIA3;ST8SIA4;ST8SIA5;SRD5A3;ST3GAL1,43
Synthesis of substrates in N-glycan biosythesis,R-HSA-446219,reactome,NA,NA,NA,6.26E-07,37,63,6.26E-07,7.02E-06,0.001842037,FPGT;GMDS;GMPPA;GMPPB;GFPT1;GNE;SLC35A1;SLC35C1;RENBP;DPM1;DPM3;ALG5;CTSA;ST3GAL2;ST3GAL3;ST3GAL4;ST3GAL6;ST6GALNAC1;ST6GALNAC3;ST8SIA2;ST8SIA3;ST8SIA4;ST8SIA5;SRD5A3;ST3GAL1;NUDT14;NUS1;NPL;PMM1;PMM2;OR2T6;PGM3;MPI;MVD;NEU2;NAGK;NANS,43
Cytochrome P450 - arranged by substrate type,R-HSA-211897,reactome,NA,NA,NA,1.81E-05,35,65,1.81E-05,0.000123468,0.049953628,TBXAS1;CYP2F1;CYP2J2;CYP2R1;CYP2U1;CYP39A1;CYP3A4;CYP3A43;CYP3A5;CYP46A1;CYP4A11;CYP4A22;CYP4F12;CYP4F3;CYP4V2;CYP7B1;CYP8B1;CYP11B2;CYP26A1;CYP26B1;CYP27A1;CYP27B1;CYP2A13;CYP2A7;CYP2B6;CYP2C19;CYP2C9;CYP2E1;ARNT2;FDX1;PTGIS;CYP2J2;POMC;POR;CYP2C9;CYP7A1;CYP27A1;NCOA2,23
ROS and RNS production in phagocytes,R-HSA-1222556,reactome,0.673943088,1,52,1.21E-05,23,36,8.16E-06,6.29E-05,0.022945047,Citrulline;CYBA;CYBB;ATP6V1E2;ATP6V1G1;ATP6V1G2;ATP6V1G3;ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;ATP6V0D1;ATP6V0D2;ATP6V1B1;ATP6V1D;ATP6V1E1;TCIRG1;MPO;NOS1;NOS2;NOS3;HVCN1;RAC2;SLC11A1,57
O-linked glycosylation,R-HSA-5173105,reactome,NA,NA,NA,6.54E-08,60,114,6.54E-08,1.00E-06,0.000197435,ADAMTS2;OR2A7;MUC12;MUC1;MUC16;MUC2;MUC20;MUC21;MUC3A;MUC4;CFP;CHST4;DAG1;B3GNT1;B3GNT2;B3GNT4;B3GNT5;B3GNT8;B3GNT9;B3GNTL1;B4GALT6;B3GALNT2;C1GALT1;C1GALT1C1;ADAMTS14;ADAMTS16; OR2A7;ADAMTS17;ADAMTS2;ADAMTS20;ADAMTS5;ADAMTS6;ADAMTS8;ADAMTSL2;ADAMTSL4;ADAMTS1;ADAMTS12;ADAMTS13;GCNT1;GCNT3;GALNT11;GALNT12;GALNT13;GALNT3;GALNT4;GALNT5;GALNT6;GALNT9;GALNTL1;GALNTL6;KCNA6;POMGNT1;POMT1;SPON1;SPON2;ST3GAL1;ST3GAL2;ST3GAL3;ST3GAL4;ST6GALNAC3;THBS1;THSD1;THSD7A,64
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",R-HSA-163200,reactome,NA,NA,NA,7.05E-06,60,127,7.05E-06,5.57E-05,0.019902313,ECSIT;ETFA;NDUFA10;NDUFA11;NDUFA12;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAF1;NDUFAF2;NDUFAF3;NDUFB2;NDUFB3;NDUFB4;NDUFB6;NDUFB7;NDUFB8;NDUFC2;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS8;NDUFV1;NDUFV3;ETFB;SCO1;SCO2;SDHA;SDHD;TRAP1;TACO1;TMEM126B;TMEM186;UQCRB;UQCRC1;UQCRFS1;UQCRH;UCP1;COQ10B;COX11;COX16;COX4I1;COX5B;COX6A1;COX6C;ACAD9;ATP5A1;ATP5D;ATP5E;ATP5F1;ATP5G2;ATP5G3;ATP5I;ATP5J;ATP5J2;ATP5O,68
Telomere Maintenance,R-HSA-157579,reactome,NA,NA,NA,2.16E-07,50,92,2.16E-07,2.79E-06,0.000643907,DKC1;DAXX;BLM;ATRX;CDK2;CHTF18;CHTF8;CCNA1;RUVBL2;POT1;PRIM1;RFC4;RPA2;RPA3;H2AFX;HIST1H2AB; HIST1H2AE;HIST1H2AD;H2AFB1;H2AFJ;HIST3H2BB;HIST1H4A;HIST1H4A;HIST2H2AC;HIST1H2BO;HIST1H4A;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST1H2BB;HIST1H2BE;HIST1H2BE;HIST1H2BE;HIST1H2BH;HIST1H2BE;HIST2H2BE;HIST1H4A;TINF2;TERF2;TERT;NHP2;POLA1;POLA2;POLD1;POLD2;POLD3;POLR2B;POLR2F;POLR2G;POLR2H;POLD4;POLR2A;POLR2I;POLR2J;POLR2K;POLR2L;LIG1;POLR2H,"73,180"
Chromosome Maintenance,R-HSA-73886,reactome,NA,NA,NA,1.19E-06,59,119,1.19E-06,1.21E-05,0.003461682,TERF2;TERT;TINF2;SMARCA5;DAXX;DKC1;CENPI;CENPK;CENPL;CENPP;CENPQ;CHTF18;CHTF8;CDK2;ATRX;BLM;CCNA1;POT1;PRIM1;POLR2L;RBBP4;RFC4;RPA2;RPA3;RUVBL2;H2AFX;H2AFB1;H2AFJ;HIST1H2AB; HIST1H2AE;HIST1H2AD;ITGB3BP;HIST1H4A;HIST3H2BB;HIST1H2BE;HIST1H2BH;HIST1H2BE;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST1H4A;HIST1H4A;HIST1H4A;HIST1H2BO;HIST1H2BB;HIST1H2BE;HIST1H2BE;HIST2H2AC;HIST2H2BE;POLD3;POLD4;POLR2A;POLA1;POLA2;POLD1;POLD2;POLR2I;POLR2J;POLR2K;POLR2B;POLR2F;POLR2G;POLR2H;LIG1;OR2A12;POLR2H;NHP2,73
Inhibition of DNA recombination at telomere,R-HSA-9670095,reactome,NA,NA,NA,5.91E-07,30,47,5.91E-07,6.76E-06,0.001743921,H2AFB1;H2AFJ;H2AFX;HIST1H2AB; HIST1H2AE;HIST1H2BE;HIST1H2BH;HIST1H2BE;HIST1H2AD;HIST1H2BB;HIST1H2BE;HIST1H2BE;HIST1H2BO;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST1H4A;HIST1H4A;HIST1H4A;HIST2H2AC;HIST2H2BE;HIST1H4A;HIST3H2BB;POLR2H;POLR2I;POLR2J;POLR2K;POLR2A;POLR2B;POLR2F;POLR2G;POLR2H;DAXX;ATRX;TERF2;TINF2;POLR2L;POT1,"74,76"
Base Excision Repair,R-HSA-73884,reactome,NA,NA,NA,2.21E-08,43,71,2.21E-08,3.87E-07,6.72E-05,TERF2;TINF2;SMUG1;UNG;XRCC1;H2AFB1;H2AFJ;H2AFX;HIST1H2AB; HIST1H2AE;HIST1H2AD;HIST1H4A;HIST3H2BB;HIST1H4A;HIST1H4A;HIST1H4A;HIST1H2BO;HIST1H2BB;HIST1H2BE;HIST1H2BE;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST2H2AC;HIST2H2BE;HIST1H2BE;HIST1H2BH;HIST1H2BE;POLD3;POLD4;POLE3;POLE4;PNKP;POLB;POLD1;POLD2;MPG;NTHL1;MUTYH;NEIL2;OGG1;PARP1;PARP2;LIG1;POT1;RFC4;RPA3;RPA2;PARG;APEX1,"76,77"
